,city,price,bathrooms,bedrooms,livingArea,homeType,taxAssessedValue,Price/sqft,HasFlooring,HasHeating,HasCooling,HasGarageSpace,HasLaundary,HasFirePlace,HasPool,Employment,Schools,Crime
79,Belmont,2975000,4,4,2680,SINGLE_FAMILY,1372980,1110.074627,Yes,Yes,Yes,Yes,Yes,Yes,Yes,A,A,B+
80,Belmont,2188000,3,3,2110,SINGLE_FAMILY,1003498,1036.966825,Yes,Yes,Yes,Yes,Yes,Yes,Yes,A,A,B+
81,Belmont,1525000,4,3,1880,TOWNHOUSE,1245776,811.1702128,No,Yes,Yes,Yes,Yes,Yes,No,A,A,B+
82,Belmont,1848000,2,3,1087,SINGLE_FAMILY,1174919,1700.091996,No,Yes,Yes,Yes,No,Yes,No,A,A,B+
83,Belmont,799000,1,1,955,CONDO,938175,836.6492147,No,Yes,No,Yes,No,Yes,No,A,A,B+
84,Belmont,615000,1,1,725,CONDO,303378,848.2758621,Yes,Yes,Yes,Yes,Yes,Yes,Yes,A,A,B+
85,Belmont,2288000,3,3,1950,SINGLE_FAMILY,624626,1173.333333,Yes,Yes,Yes,Yes,Yes,Yes,No,A,A,B+
86,Belmont,1899000,3,4,1835,SINGLE_FAMILY,1710740,1034.877384,Yes,Yes,No,Yes,Yes,Yes,No,A,A,B+
87,Berkeley,1949000,3,4,2904,SINGLE_FAMILY,,671.1432507,Yes,Yes,Yes,Yes,Yes,Yes,Yes,B-,A,F
88,Berkeley,1795000,3,5,2377,SINGLE_FAMILY,123139,755.1535549,Yes,Yes,Yes,Yes,Yes,Yes,Yes,B-,A,F
89,Berkeley,1595000,3,3,3070,SINGLE_FAMILY,1417020,519.5439739,No,No,No,Yes,No,Yes,No,B-,A,F
90,Berkeley,688000,1,2,845,CONDO,,814.2011834,Yes,Yes,Yes,Yes,Yes,Yes,Yes,B-,A,F
91,Berkeley,975000,2,3,1160,TOWNHOUSE,,840.5172414,Yes,Yes,Yes,Yes,Yes,Yes,Yes,B-,A,F
92,Berkeley,1500000,5,7,2215,MULTI_FAMILY,1454527,677.2009029,Yes,Yes,Yes,Yes,Yes,Yes,No,B-,A,F
93,Berkeley,1095000,2,2,1480,SINGLE_FAMILY,767577,739.8648649,Yes,Yes,Yes,Yes,Yes,Yes,Yes,B-,A,F
